CONTRACT_INFO_DATE,CONTRACT_INFO_AMOUNT/RENT,ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,CONSTRUCTION,NUMBER_OF_ROOMS,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,BATH_NOTE,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,BICYCLE_PARKING,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_COMBINIENCE_STORE,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,DISTANCE_TO_PLAYGROUND,DISTANCE_TO_BANK,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES,LOCAL_GOVERNMENT_PREFECTURE,LOCAL_GOVERNMENT_CITY
,,9000594,売買居住用,秋田県,秋田市,JR奥羽本線,土崎,900m,6000000,1984/6/1,129.02,1,木造,5,171.53,公簿,宅地,市街化区域,第二種住居地域,所有権,無,無,1,,公営,都市ガス,下水,,,,専用,,ガス,,空き有,,500,1200,550,270,600,3000,600,500,200,60,無,無,秋田県,秋田市
,,9000595,売買居住用,秋田県,秋田市,JR奥羽本線,土崎,200m,11580000,1996/8/1,132,,木造,4,220.75,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,,横山金足線に近く、閑静な住宅地です。,公営,都市ガス,下水,,専用,,専用,,ガス,有り,空き有,,800,600,,1900,,900,,,80,50,無,無,秋田県,秋田市
,,9000613,売買居住用,秋田県,大館市,JR奥羽本線,大館,3分,6500000,1982/1/1,133.87,1,木造,6,559.27,公簿,宅地,非線引区域,第二種中高層住居専用地域,所有権,無,無,1,"コンビニ徒歩3分
住宅と別に車庫（1台分）あり",その他,プロパン,下水,,,,,,,,,,1400,3000,200,750,,2800,,,200,60,無,無,秋田県,大館市
,,9000615,売買居住用,岡山県,笠岡市,JR山陽本線,笠岡,,3000000,,101.94,,木造,5,538.37,,,,,,無,無,,"【VR内覧】https://spacely.co.jp/kasaoka/TNLuFWEGzM
ウッドデッキがあります。
広い庭付きです。",公営,,汲み取り式,,専用,,専用,和式・汲み取り,,,空き有,,2500,3700,,7100,,6200,,,,,無,無,岡山県,笠岡市
,,9000618,売買居住用,岡山県,笠岡市,,,,8500000,,49.59,,木造,,484.71,,,,,,無,無,,【VR内覧】https://spacely.co.jp/kasaoka/J88UgzbAHx 生活・交通の利便性◎。病院、駅、スーパーが近くにあります。庭が広いです。,公営,プロパン,,,,,専用,和式・汲み取り,ガス,,空き無,,1000,2300,,900,,200,,,,,無,無,岡山県,笠岡市
,,9000624,売買居住用,大分県,大分市,JR日豊本線,鶴崎,40分,21400000,1986/5/1,109.86,,木造,4,184.21,公簿,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,1,,公営,,下水,,,,,,IH,,,,,,,,,,,,200,60,無,無,大分県,大分市
12/24/25,,9000628,売買居住用,山口県,防府市,JR山陽本線,防府,9800m,1620000,1965/8/1,141.47,,木造,4,356.66,,,都市計画区域外,,,無,無,,"山や田の緑豊かな環境で、のんびりと田舎暮らしを楽しみませんか？
防府市街地までは車で15分。奈美郵便局のすぐ近くにあります。",井戸,プロパン,汲み取り式,,,,,,,,空き有,,,,,,,,,,,,無,無,山口県,防府市
,,9000631,売買居住用,秋田県,大館市,JR奥羽本線,大館,14分,6500000,1983/2/1,118.41,1,木造,5,166.51,公簿,宅地,非線引区域,近隣商業地域,所有権,無,無,1,"コンビニ・スーパーまで徒歩5分
有浦小学校・東中学校・大館駅いずれも徒歩20分圏内
1台分の駐車スペースあり・融雪付き",公営,,下水,,,,,,,,,,1200,1300,300,250,,1400,80,,300,80,無,無,秋田県,大館市
,,9000632,売買居住用,秋田県,大館市,JR奥羽本線,早口,22分,2100000,1986/1/1,134.14,1,木造,5,382.1,公簿,宅地,非線引区域,,所有権,無,無,2,"敷地内に3台駐車可
屋根裏収納あり",公営,プロパン,下水,,,,,,,,,,1100,1300,2100,1200,850,9300,,,,,無,無,秋田県,大館市
,,9000642,売買居住用,富山県,高岡市,あいの風とやま鉄道,福岡,31分,400000,1974/1/1,255.35,,ブロック造,8,832.55,公簿,宅地,,,所有権,無,無,,,,,,,,,,,,,,,2400,3600,,,,,,,,,無,無,富山県,高岡市
,,9000659,賃貸居住用,富山県,高岡市,あいの風とやま鉄道,高岡,1800m,45000,1960/1/1,116.23,,木造,5,,,,,,,無,無,,,,,,,,,,,,,,,800,1000,,750,,70,,,,,無,無,富山県,高岡市
,,9000660,売買居住用,富山県,高岡市,あいの風とやま鉄道,高岡,25分,3800000,,294.04,,木造,10,1735.46,公簿,宅地,,,所有権,無,無,,,,,,,,,,,,,,,1500,2400,,1800,,,,,,,無,無,富山県,高岡市
,,9000662,賃貸居住用,岡山県,笠岡市,JR山陽本線,笠岡,,55000,,,,木造,7,,,,,,,無,無,,"https://spacely.co.jp/kasaoka/79h4Bv5REW
部屋数が多いです。
南向き日当たり良好です。
庭付きです。",公営,プロパン,下水,,専用,ガス,専用,洋式・水洗,ガス,有り,空き有,,1600,2800,,2000,,1200,,,,,無,無,岡山県,笠岡市
,,9000669,売買居住用,秋田県,大館市,JR奥羽本線,大館,30分,5700000,1987/1/1,115.7,1,木造,4,303.53,,宅地,非線引区域,,所有権,無,無,1,住宅と別に車庫あり（1台分）,公営,プロパン,下水,,,,,,,,,,1250,1800,1100,1500,1100,1450,,,200,70,無,無,秋田県,大館市
